num,P0|P1|P2|P3|,reachability
10,1010,1
9,1001,1
6,0110,1
5,0101,1
15,1111,0
14,1110,0
13,1101,0
12,1100,0
11,1011,0
8,1000,0
7,0111,0
4,0100,0
3,0011,0
2,0010,0
1,0001,0
0,0000,0
